"ISO_id","reg_translit","reg_name","reg_translit_short"
"643-326","Belgorod oblast","Белгородская область","Belgorod"
"643-332","Bryansk oblast","Брянская область","Bryansk"
"643-338","Vladimir oblast","Владимирская область","Vladimir"
"643-356","Voronezh oblast","Воронежская область","Voronezh"
"643-362","Ivanovo oblast","Ивановская область","Ivanovo"
"643-380","Kaluga oblast","Калужская область","Kaluga"
"643-404","Kostroma oblast","Костромская область","Kostroma"
"643-428","Kursk oblast","Курская область","Kursk"
"643-440","Lipetsk oblast","Липецкая область","Lipetsk"
"643-452","Moscow oblast","Московская область","Moscow"
"643-496","Oryol oblast","Орловская область","Oryol"
"643-534","Ryazan oblast","Рязанская область","Ryazan"
"643-564","Smolensk oblast","Смоленская область","Smolensk"
"643-576","Tambov oblast","Тамбовская область","Tambov"
"643-582","Tver oblast","Тверская область","Tver"
"643-594","Tula oblast","Тульская область","Tula"
"643-630","Yaroslavl oblast","Ярославская область","Yaroslavl"
"643-001","Moscow (city)","г. Москва","Moscow"
"643-137","Karelia","Республика Карелия","Karelia"
"643-141","Komi Republic","Республика Коми","Komi"
"643-314","Arkhangelsk oblast","Архангельская область","Arkhangelsk"
"643-730","Nenets a.o.","Ненецкий авт.округ","Nenets"
"643-350","Vologda oblast","Вологодская область","Vologda"
"643-374","Kaliningrad oblast","Калининградская область","Kaliningrad"
"643-434","Leningrad oblast","Ленинградская область","Leningrad"
"643-458","Murmansk oblast","Мурманская область","Murmansk"
"643-470","Novgorod oblast","Новгородская область","Novgorod"
"643-522","Pskov oblast","Псковская область","Pskov"
"643-002","Saint-Petersburg","г. Санкт-Петербург","Saint-Petersburg"
"643-101","Adygeya","Республика Адыгея","Adygeya"
"643-117","Daghestan","Республика Дагестан","Daghestan"
"643-121","Ingushetia","Республика Ингушетия","Ingushetia"
"643-125","Kabardino-Balkaria","Кабардино-Балкарская Республика","Kabardino-Balkaria"
"643-129","Kalmykia","Республика Калмыкия","Kalmykia"
"643-133","Karachayevo-Cherkessia","Карачаево-Черкесская Республика","Karachayevo-Cherkessia"
"643-153","North Ossetia-Alania","Республика Северная Осетия - Алания","North"
"643-173","Chechen Republic","Чеченская Республика","Chechen"
"643-410","Krasnodar krai","Краснодарский край","Krasnodar"
"643-570","Stavropol krai","Ставропольский край","Stavropol"
"643-320","Astrakhan oblast","Астраханская область","Astrakhan"
"643-344","Volgograd oblast","Волгоградская область","Volgograd"
"643-528","Rostov oblast","Ростовская область","Rostov"
"643-109","Bashkortostan","Республика Башкортостан","Bashkortostan"
"643-145","Marij El","Республика Марий Эл","Marij"
"643-149","Mordovia","Республика Мордовия","Mordovia"
"643-157","Tatarstan","Республика Татарстан","Tatarstan"
"643-165","Udmurtia","Удмуртская Республика","Udmurtia"
"643-177","Chuvashia","Чувашская Республика","Chuvashia"
"643-398","Kirov oblast","Кировская область","Kirov"
"643-464","Nizhni Novgorod oblast","Нижегородская область","Nizhni"
"643-490","Orenburg oblast","Оренбургская область","Orenburg"
"643-504","Penza oblast","Пензенская область","Penza"
"643-510","Perm krai","Пермский край","Perm"
"643-718","Komi-Permyatski a.o.","Коми-Пермяцкий авт.округ","Komi-Permyatski"
"643-540","Samara oblast","Самарская область","Samara"
"643-546","Saratov oblast","Саратовская область","Saratov"
"643-606","Ulyanovsk oblast","Ульяновская область","Ulyanovsk"
"643-422","Kurgan oblast","Курганская область","Kurgan"
"643-558","Sverdlovsk oblast","Свердловская область","Sverdlovsk"
"643-600","Tiumen oblast","Тюменская область","Tiumen"
"643-748","Khanty-Mansijsk a.o.","Ханты-Мансийский авт.округ-Югра","Khanty-Mansijsk"
"643-766","Yamalo-Nenets a.o.","Ямало-Ненецкий авт.округ","Yamalo-Nenets"
"643-618","Chelyabinsk oblast","Челябинская область","Chelyabinsk"
"643-105","Republic of Altai","Республика Алтай","Republic"
"643-113","Buryatia","Республика Бурятия","Buryatia"
"643-161","Tuva","Республика Тыва","Tuva"
"643-169","Khakassia","Республика Хакасия","Khakassia"
"643-301","Altai krai","Алтайский край","Altai"
"643-416","Krasnoyarsk krai","Красноярский край","Krasnoyarsk"
"643-736","Taimyr (Dolgano-Nenets) a.o.","Таймырский (Долгано-Ненецкий) авт.округ","Taimyr"
"643-760","Evenk a.o.","Эвенкийский авт.окpуг","Evenk"
"643-368","Irkutsk oblast","Иркутская область","Irkutsk"
"643-742","Ust-Ordyn Buryat a.o.","Усть-Ордынский Бурятский авт.округ","Ust-Ordyn"
"643-392","Kemerovo oblast","Кемеровская область","Kemerovo"
"643-476","Novosibirsk oblast","Новосибирская область","Novosibirsk"
"643-484","Omsk oblast","Омская область","Omsk"
"643-588","Tomsk oblast","Томская область","Tomsk"
"643-624","Zabaikal krai","Забайкальский край","Zabaikal"
"643-712","Aginsk Buryat a.o.","Агинский Бурятский авт.округ","Aginsk"
"643-181","Republic of Sakha (Yakutia)","Республика Саха (Якутия)","Republic"
"643-516","Primorie","Приморский край","Primorie"
"643-612","Khabarovsk krai","Хабаровский край","Khabarovsk"
"643-308","Amur oblast","Амурская область","Amur"
"643-386","Kamchatka krai","Камчатский край","Kamchatka"
"643-724","Koryak a.o.","Корякский авт.округ","Koryak"
"643-446","Magadan oblast","Магаданская область","Magadan"
"643-552","Sakhalin oblast","Сахалинская область","Sakhalin"
"643-701","Jewish a.o.","Еврейская автономная область","Jewish"
"643-754","Chukotka a.o.","Чукотский авт.округ","Chukotka"
