Federal subject name;Federal subject code;Total expenditure;Federal budget;Federal subject budget;Local authority budgets;Retirement fund budget of Russia;Federal fund budget of compulsory medical insurance;Social insurance fund budget of Russia;Territorial government non-budgetary fund budget;Budget level is unknown
Алтайский край;22;37 646 551 231;7 786 535 226;13 625 114 770;8 055 467 176;146 127 089;9 565 349;159 929 617;22 537 797;7 841 274 207
Амурская область;28;13 431 134 572;2 772 053 258;4 536 594 200;4 988 668 799;48 913 347;1 524 437;42 141 542;3 121 945;1 038 117 044
Архангельская область;29;35 732 472 752;3 555 128 040;16 010 322 391;9 649 071 615;193 939 991;4 098 662;324 772 008;20 897 817;5 974 242 228
Астраханская область;30;21 943 382 153;7 736 481 166;7 207 822 738;3 931 747 010;39 801 338;1 105 973;224 304 709;4 442 186;2 797 677 033
Белгородская область;31;28 388 773 938;2 811 353 154;11 663 008 672;8 122 999 940;70 208 557;1 650 678;373 998 284;4 081 156;5 341 473 497
Брянская область;32;12 903 493 537;2 398 216 825;4 132 298 629;4 893 766 416;57 951 305;20 329 674;47 134 672;740 381;1 353 055 635
Владимирская область;33;26 858 651 321;3 605 319 528;4 786 098 121;7 990 109 657;78 251 625;3 162 643;480 276 883;18 389 450;9 897 043 414
Волгоградская область;34;41 336 077 537;5 384 812 926;13 743 077 031;12 366 211 178;107 136 544;19 360 018;468 527 564;21 523 719;9 225 428 557
Вологодская область;35;40 973 364 113;18 143 521 980;10 695 530 388;7 091 819 997;111 571 248;8 485 382;331 383 903;6 039 385;4 585 011 830
Воронежская область;36;44 198 875 866;8 754 480 195;16 659 041 619;11 803 709 012;55 834 739;6 737 864;158 692 838;15 738 937;6 744 640 662
Еврейская автономная область;79;5 268 972 859;508 705 589;2 684 549 841;1 593 634 785;20 699 368;168 303;33 129 034;803 027;427 282 912
Забайкальский край;75;28 943 919 411;8 745 741 639;12 387 356 728;4 602 915 559;96 454 380;82 508 787;217 479 834;83 107 557;2 728 354 927
Ивановская область;37;16 651 246 269;1 848 604 949;5 042 428 564;5 656 267 656;56 690 927;3 321 889;316 602 556;11 096 137;3 716 233 591
Иркутская область;38;59 028 916 476;12 838 282 837;20 547 875 160;17 452 758 946;152 338 233;110 304 263;728 059 651;130 592 794;7 068 704 592
Кабардино-Балкарская Республика;07;11 890 865 503;2 190 547 403;7 048 132 600;1 037 704 838;112 434 110;299 910;185 332 041;79 008 649;1 237 405 952
Калининградская область;39;30 794 318 384;2 868 486 532;17 067 907 567;6 952 582 021;36 795 563;3 757 510;278 811 545;1 996 616;3 583 981 030
Калужская область;40;44 653 570 670;11 438 856 727;17 627 425 827;7 583 086 846;39 187 422;1 368 581;274 577 660;4 693 541;7 684 374 066
