 ,2007,2011,2011: Share of ‘native candidates’
UR vote,Candidates in list,Mandates won,UR vote,Candidates in list,Mandates won,Difference in mandates,All list,Winning positions,Elected candidate
Adygeya,0.7097,4,1,0.6021,4,1,0,0.7500,1.0000,1.0000
Altay rep.,0.6946,4,1,0.5333,3,0,–1,1.0000,1.0000,n/a
Altay Krai,0.5469,9,5,0.3717,10,3,–2,0.7000,0.4000,0.6667
Amur,0.6975,6,2,0.4353,5,1,–1,0.6000,0.5000,0,0000
Archangel’sk,0.5672,5,2,0.3190,5,1,–1,0.6000,0.5000,0.0000
Astrakhan,0.5801,5,2,0.6017,4,2,0,0.7500,0.5000,0.5000
Bashkortostan,0.8312,15,15,0.7050,17,12,–3,0.8235,0.8000,0.7500
Belgorod,0.6539,7,4,0.5116,7,3,–1,1.0000,1.0000,1.0000
Bryansk,0.6177,4,3,0.5012,4,2,–1,0.7500,0.6667,0.5000
Buryatiya,0.6559,5,2,0.4902,5,1,–1,1.0000,1.0000,1.0000
Vladimir,0.5675,6,3,0.3827,8,2,–1,0.6250,0.6667,0.5000
Volgograd,0.5774,13*,5*,0.3548,10,3,–2,0.6000,0.6000,0.6667
Vologda,0.6047,5,3,0.3340,5,1,–2,0.8000,0.6667,1.0000
Voronezh,0.5697,8*,5*,0.5005,9,5,0,0.6667,0.4000,0.4000
Dagestan,0.8919,10,8,0.9144,14,10,2,1.0000,1.0000,1.0000
Zabaikal’skii Krai,0.6275,6,2,0.4328,5,1,–1,0.8000,0.5000,0.0000
Ivanovo,0.6076,6,2,0.4012,6,1,–1,1.0000,1.0000,1.0000
Ingushetiya,0.9872,4,1,0.9096,3,1,0,1.0000,1.0000,1.0000
Irkutsk,0.5869,8,5,0.3493,8,2,–3,0.8750,1.0000,1.0000
Kabardino-Balkariya,0.9612,4,3,0.8191,4,3,0,0.7500,0.6667,0.6667
Kaliningrad,0.5738,6,3,0.3707,7,3,0,0.5714,0.3333,0.3333
Kalmykiya,0.7270,4,1,0.6610,3,1,0,1.0000,1.0000,1.0000
Kaluga,0.6165,7,2,0.4042,5,1,–1,0.6000,0.0000,0.0000
Kamchatka,0.6835,4,1,0.4525,3,1**,0,0.6667,0.0000,0.0000
Karach.-Cherkessiya,0.9290,4,2,0.8984,4,2,0,0.7500,0.5000,0.5000
Kareliya,0.5728,4,1,0.3226,3,1,0,1.0000,1.0000,1.0000
Kemerovo,0.7686,11,9,0.6424,11,7,–2,0.7273,0.6667,0.7143
Kirov,0.5538,5,3,0.3490,5,2,–1,0.8000,0.6667,0.5000
Komi,0.6206,4,2,0.5881,4,2,0,0.7500,1.0000,1.0000
Kostroma,0.5635,4,1,0.3074,4,1,0,0.7500,0.0000,0.0000
Krasnodar,0.6189,15,11,0.5615,19,11,0,0.8421,0.7273,0.7273
Krasnoyarsk,0.6067,9,5,0.3670,10,3,–2,0.8000,0.8000,0.6667
Kurgan,0.6443,6,2,0.4441,5,1,–1,0.8000,0.5000,1.0000
Kursk,0.6274,6,3,0.4572,6,2,–1,0.8333,0.6667,0.5000
Leningrad Oblast’,0.5923,5,3,0.3354,8,2,–1,0.7500,1.0000,0.5000
